Time,Open,High,Low,Close,Volume
"Jul 06, 2021",160.0,163.0,160.0,162.0,13.70M
"Jul 05, 2021",162.0,163.0,160.0,160.0,8.43M
"Jul 02, 2021",160.0,163.0,159.0,160.0,15.23M
"Jul 01, 2021",160.0,163.0,159.0,160.0,14.63M
"Jun 30, 2021",160.0,162.0,158.0,160.0,13.01M
"Jun 29, 2021",158.0,163.0,157.0,159.0,16.96M
"Jun 28, 2021",168.0,170.0,158.0,158.0,43.43M
"Jun 25, 2021",169.0,173.0,165.0,168.0,21.32M
"Jun 24, 2021",172.0,175.0,169.0,170.0,14.37M
"Jun 23, 2021",175.0,179.0,172.0,172.0,16.07M
"Jun 22, 2021",171.0,177.0,170.0,175.0,23.34M
"Jun 21, 2021",171.0,171.0,166.0,170.0,28.31M
"Jun 18, 2021",179.0,180.0,168.0,172.0,71.60M
"Jun 17, 2021",187.0,187.0,180.0,180.0,40.86M
"Jun 16, 2021",190.0,192.0,185.0,187.0,81.69M
"Jun 15, 2021",200.0,202.0,190.0,191.0,60.15M
"Jun 14, 2021",189.0,204.0,184.0,198.0,293.78M
"Jun 11, 2021",187.0,190.0,184.0,185.0,16.53M
"Jun 10, 2021",182.0,190.0,181.0,186.0,23.46M
"Jun 09, 2021",184.0,185.0,181.0,182.0,18.92M
"Jun 08, 2021",188.0,188.0,183.0,184.0,19.04M
"Jun 07, 2021",190.0,192.0,186.0,187.0,22.19M
"Jun 04, 2021",191.0,196.0,187.0,188.0,52.28M
"Jun 03, 2021",185.0,193.0,184.0,191.0,48.56M
"Jun 02, 2021",181.0,185.0,181.0,184.0,29.39M
"May 31, 2021",180.0,187.0,180.0,181.0,44.50M
"May 28, 2021",180.0,182.0,176.0,179.0,18.99M
"May 27, 2021",170.0,180.0,169.0,179.0,37.09M
"May 25, 2021",170.0,174.0,166.0,169.0,35.14M
"May 24, 2021",171.0,172.0,166.0,167.0,24.96M
"May 21, 2021",180.0,182.0,168.0,168.0,45.46M
"May 20, 2021",179.0,184.0,179.0,180.0,14.48M
"May 19, 2021",184.0,185.0,179.0,179.0,21.64M
"May 18, 2021",189.0,189.0,182.0,184.0,19.29M
"May 17, 2021",193.0,194.0,186.0,186.0,39.18M
"May 11, 2021",194.0,194.0,192.0,192.0,10.36M
"May 10, 2021",191.0,196.0,191.0,194.0,20.45M
"May 07, 2021",195.0,196.0,191.0,191.0,18.35M
"May 06, 2021",194.0,198.0,193.0,194.0,33.19M
"May 05, 2021",190.0,194.0,189.0,193.0,49.79M
"May 04, 2021",194.0,195.0,187.0,190.0,51.35M
"May 03, 2021",198.0,199.0,193.0,194.0,34.07M
"Apr 30, 2021",200.0,202.0,198.0,198.0,29.63M
"Apr 29, 2021",198.0,206.0,197.0,200.0,52.29M
"Apr 28, 2021",202.0,202.0,198.0,198.0,20.40M
"Apr 27, 2021",200.0,202.0,198.0,199.0,19.71M
"Apr 26, 2021",202.0,204.0,199.0,200.0,19.69M
"Apr 23, 2021",200.0,206.0,198.0,202.0,49.75M
"Apr 22, 2021",202.0,204.0,198.0,199.0,25.60M
"Apr 21, 2021",204.0,204.0,202.0,202.0,22.92M
"Apr 20, 2021",204.0,208.0,200.0,204.0,34.98M
"Apr 19, 2021",206.0,206.0,200.0,202.0,21.27M
"Apr 16, 2021",208.0,208.0,204.0,206.0,18.72M
"Apr 15, 2021",204.0,208.0,204.0,206.0,17.59M
"Apr 14, 2021",204.0,208.0,202.0,204.0,37.12M
"Apr 13, 2021",206.0,208.0,198.0,204.0,27.30M
"Apr 12, 2021",218.0,218.0,204.0,206.0,83.14M
"Apr 09, 2021",222.0,226.0,218.0,218.0,25.40M
"Apr 08, 2021",214.0,228.0,212.0,222.0,78.34M
"Apr 07, 2021",216.0,216.0,212.0,214.0,17.95M
"Apr 06, 2021",214.0,218.0,212.0,216.0,35.69M
"Apr 05, 2021",216.0,220.0,212.0,214.0,30.28M
"Apr 01, 2021",212.0,218.0,212.0,216.0,27.35M
"Mar 31, 2021",230.0,230.0,210.0,212.0,134.44M
"Mar 30, 2021",234.0,234.0,222.0,224.0,62.45M
"Mar 29, 2021",236.0,240.0,232.0,232.0,32.19M
"Mar 26, 2021",232.0,238.0,230.0,236.0,44.09M
"Mar 25, 2021",234.0,236.0,224.0,232.0,69.83M
"Mar 24, 2021",234.0,236.0,230.0,232.0,41.84M
"Mar 23, 2021",240.0,242.0,232.0,234.0,65.16M
"Mar 22, 2021",238.0,244.0,236.0,238.0,46.93M
"Mar 19, 2021",246.0,246.0,238.0,238.0,59.82M
"Mar 18, 2021",244.0,248.0,242.0,246.0,33.95M
"Mar 17, 2021",244.0,248.0,242.0,244.0,35.57M
"Mar 16, 2021",248.0,252.0,244.0,244.0,42.70M
"Mar 15, 2021",250.0,256.0,248.0,248.0,136.29M
"Mar 12, 2021",236.0,252.0,236.0,250.0,292.01M
"Mar 10, 2021",230.0,244.0,224.0,236.0,147.86M
"Mar 09, 2021",236.0,240.0,222.0,230.0,142.61M
"Mar 08, 2021",240.0,246.0,236.0,236.0,62.11M
"Mar 05, 2021",236.0,242.0,232.0,238.0,54.54M
"Mar 04, 2021",240.0,246.0,236.0,240.0,83.09M
"Mar 03, 2021",254.0,256.0,238.0,244.0,138.30M
"Mar 02, 2021",258.0,266.0,252.0,252.0,431.83M
"Mar 01, 2021",236.0,260.0,236.0,254.0,700.67M
"Feb 26, 2021",236.0,238.0,226.0,236.0,87.41M
"Feb 25, 2021",238.0,244.0,236.0,238.0,56.22M
"Feb 24, 2021",242.0,242.0,232.0,240.0,54.44M
"Feb 23, 2021",242.0,246.0,238.0,240.0,51.65M
"Feb 22, 2021",246.0,250.0,240.0,240.0,109.18M
"Feb 19, 2021",246.0,256.0,236.0,244.0,338.65M
"Feb 18, 2021",240.0,248.0,238.0,244.0,244.15M
"Feb 17, 2021",244.0,254.0,232.0,238.0,230.62M
"Feb 16, 2021",248.0,252.0,242.0,244.0,101.40M
"Feb 15, 2021",238.0,256.0,236.0,248.0,267.61M
"Feb 11, 2021",242.0,244.0,236.0,236.0,76.33M
"Feb 10, 2021",238.0,248.0,228.0,242.0,199.55M
"Feb 09, 2021",226.0,250.0,224.0,236.0,631.04M
"Feb 08, 2021",220.0,226.0,216.0,224.0,105.56M
"Feb 05, 2021",210.0,220.0,208.0,218.0,69.43M
"Feb 04, 2021",212.0,216.0,206.0,208.0,71.75M
"Feb 03, 2021",210.0,216.0,204.0,212.0,77.69M
"Feb 02, 2021",220.0,228.0,208.0,210.0,280.85M
"Feb 01, 2021",192.0,220.0,186.0,220.0,248.20M
"Jan 29, 2021",189.0,199.0,182.0,192.0,260.71M
"Jan 28, 2021",200.0,200.0,186.0,186.0,124.85M
"Jan 27, 2021",204.0,204.0,190.0,200.0,233.09M
"Jan 26, 2021",210.0,220.0,204.0,204.0,159.99M
"Jan 25, 2021",232.0,234.0,218.0,218.0,178.15M
"Jan 22, 2021",252.0,252.0,232.0,234.0,137.47M
"Jan 21, 2021",240.0,260.0,240.0,248.0,193.42M
"Jan 20, 2021",236.0,246.0,232.0,238.0,105.90M
"Jan 19, 2021",246.0,252.0,230.0,236.0,145.19M
"Jan 18, 2021",262.0,266.0,242.0,246.0,196.20M
"Jan 15, 2021",258.0,268.0,254.0,260.0,142.62M
"Jan 14, 2021",270.0,272.0,256.0,258.0,162.29M
"Jan 13, 2021",282.0,286.0,264.0,268.0,262.39M
"Jan 12, 2021",264.0,282.0,258.0,278.0,478.32M
"Jan 11, 2021",258.0,270.0,254.0,264.0,206.51M
"Jan 08, 2021",256.0,262.0,254.0,256.0,114.90M
"Jan 07, 2021",258.0,266.0,254.0,256.0,127.33M
"Jan 06, 2021",260.0,268.0,244.0,254.0,181.41M
"Jan 05, 2021",252.0,272.0,246.0,260.0,348.66M
"Jan 04, 2021",242.0,252.0,228.0,252.0,212.93M
"Dec 30, 2020",258.0,260.0,242.0,242.0,203.78M
"Dec 29, 2020",260.0,274.0,254.0,256.0,225.12M
"Dec 28, 2020",264.0,268.0,252.0,258.0,126.59M
"Dec 23, 2020",276.0,276.0,250.0,262.0,303.49M
"Dec 22, 2020",288.0,292.0,268.0,268.0,402.60M
"Dec 21, 2020",282.0,304.0,280.0,288.0,381.19M
"Dec 18, 2020",272.0,286.0,270.0,278.0,397.50M
"Dec 17, 2020",262.0,282.0,258.0,268.0,625.11M
"Dec 16, 2020",252.0,266.0,252.0,260.0,267.07M
"Dec 15, 2020",252.0,262.0,246.0,252.0,191.95M
"Dec 14, 2020",256.0,260.0,250.0,252.0,135.78M
"Dec 11, 2020",260.0,272.0,250.0,254.0,405.20M
"Dec 10, 2020",240.0,262.0,238.0,260.0,759.74M
"Dec 08, 2020",242.0,246.0,234.0,238.0,148.22M
"Dec 07, 2020",238.0,244.0,236.0,240.0,136.46M
"Dec 04, 2020",240.0,242.0,232.0,236.0,73.78M
"Dec 03, 2020",246.0,248.0,240.0,240.0,182.13M
